id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
708508758,1,62,F,0,mestrado,casado,menos que $40K,blue,49,2,3,3,1438.73,692.25,16
708300483,1,66,F,0,doutorado,casado,na,blue,56,5,3,4,7882.47,704.78,16
779471883,1,54,F,1,mestrado,casado,menos que $40K,blue,40,2,1,3,1438.08,705.59,19
714374133,1,56,M,2,mestrado,casado,$120K +,blue,36,1,3,3,15769.34,602.6,15
712030833,1,48,M,2,mestrado,casado,$60K - $80K,silver,35,2,4,4,34516.6,691.1,15
711013983,1,55,F,4,na,casado,$40K - $60K,blue,45,2,3,4,2158.57,615.02,12
711887583,1,47,M,2,na,casado,$80K - $120K,blue,37,2,3,3,5449.1,836.55,18
720201033,1,53,M,2,mestrado,casado,$80K - $120K,blue,41,3,2,3,11669.07,720.82,23
789322833,1,48,F,5,ensino medio,casado,menos que $40K,blue,38,1,3,3,8025.36,673.64,18
767712558,1,59,M,1,graduacao,solteiro,$60K - $80K,blue,53,2,3,3,14979.44,530.36,10
712950783,1,48,F,4,sem educacao formal,casado,menos que $40K,blue,38,3,3,2,2732.31,739.82,16
713741358,1,46,M,5,mestrado,solteiro,$80K - $120K,blue,33,6,3,3,32975.61,597.86,17
708953883,1,53,M,2,na,casado,$80K - $120K,blue,36,2,1,2,3212.38,757.7,20
708868233,1,68,M,0,ensino medio,casado,menos que $40K,blue,52,1,2,3,1438.72,760.47,21
719808558,1,55,F,2,mestrado,casado,menos que $40K,blue,43,2,3,4,1438.49,886.93,27
711551958,1,59,M,2,doutorado,casado,$60K - $80K,blue,46,3,3,3,1438.61,844.25,24
772336458,1,60,F,1,sem educacao formal,casado,$40K - $60K,blue,50,4,3,4,1438.57,702.15,12
720997383,1,52,M,1,sem educacao formal,casado,$80K - $120K,blue,36,2,3,3,1857.31,829.9,17
710299608,1,53,F,2,na,casado,menos que $40K,blue,33,2,3,3,2859.73,817.64,30
821797008,1,49,M,5,graduacao,casado,$40K - $60K,blue,45,2,3,2,1438.71,815.11,21
708874533,1,45,F,2,graduacao,casado,menos que $40K,blue,36,1,2,3,3387.36,510.16,24
712125258,1,46,M,4,ensino medio,casado,$120K +,blue,30,3,3,3,2442.35,701.37,19
772390908,1,59,M,0,ensino medio,solteiro,$40K - $60K,blue,48,2,3,4,3616.78,687.81,17
778867533,1,59,F,0,doutorado,casado,$40K - $60K,blue,40,1,1,4,1438.04,689.19,23
771809733,1,64,F,0,ensino medio,casado,$40K - $60K,blue,53,1,3,3,3353.71,960.89,18
719211558,1,45,M,2,mestrado,solteiro,$60K - $80K,blue,36,1,2,1,3401.34,744.28,18
718621608,1,54,F,2,ensino medio,casado,na,blue,44,3,1,3,6094.27,909.43,14
720272958,1,48,M,2,ensino medio,casado,$120K +,blue,36,3,3,3,27126.02,1000.75,25
709173108,1,54,F,4,mestrado,casado,na,blue,40,6,2,2,2532.68,799.6,21
708330858,1,57,M,3,mestrado,casado,$120K +,blue,38,2,3,3,8249.68,678.76,11
709278258,1,54,M,2,na,casado,$40K - $60K,blue,44,4,2,3,2902.27,996.12,26
714871683,1,58,M,1,sem educacao formal,casado,$40K - $60K,blue,36,2,3,4,1438.23,715.18,13
708288108,1,43,M,4,doutorado,na,$80K - $120K,blue,30,2,3,5,5639,647.1,15
717354558,1,57,M,2,sem educacao formal,casado,$120K +,blue,40,3,3,3,3106.12,683.34,17
714639783,1,42,M,3,graduacao,casado,$60K - $80K,blue,34,3,3,3,13450.22,1000.97,18
778868958,1,42,F,2,mestrado,casado,menos que $40K,blue,23,3,3,3,1929.53,857.65,36
710940183,1,49,F,3,mestrado,casado,menos que $40K,blue,38,6,2,3,2185.35,715.45,20
709547658,1,39,M,2,sem educacao formal,solteiro,$60K - $80K,blue,36,5,3,3,13961.22,783.91,20
712159083,1,58,F,4,na,casado,menos que $40K,blue,46,2,3,3,2536.46,901.87,35
711791583,1,52,F,1,mestrado,solteiro,menos que $40K,blue,40,1,2,2,2317.39,884.01,19
712315683,1,53,F,2,sem educacao formal,solteiro,menos que $40K,blue,45,1,1,1,1981.93,973.88,25
789842283,1,54,M,2,mestrado,casado,$60K - $80K,blue,42,3,2,3,4320.56,706.26,21
719418933,1,53,M,2,sem educacao formal,casado,$80K - $120K,blue,36,1,3,3,4503.98,748.51,20
781794708,1,35,M,3,doutorado,na,$80K - $120K,blue,29,2,3,1,17030.72,715.56,25
714272658,1,43,F,2,sem educacao formal,solteiro,menos que $40K,blue,24,2,2,3,2962.93,929.33,31
767294658,1,56,M,2,graduacao,solteiro,$120K +,blue,50,2,3,2,16867.12,654.61,14
708241233,1,52,F,3,doutorado,solteiro,menos que $40K,blue,47,3,2,3,2972.3,922.94,25
716223708,1,45,F,3,sem educacao formal,solteiro,na,blue,36,3,3,3,4028.27,791.44,22
719443683,1,50,M,1,na,solteiro,$120K +,blue,39,3,3,2,27512.95,1149.6,25
779610033,1,58,M,1,graduacao,casado,$80K - $120K,blue,47,3,3,3,12151.06,918.45,14
709345008,1,53,F,2,doutorado,casado,na,blue,39,1,3,2,1438.67,807.5,22
721417233,1,45,M,2,mestrado,casado,$60K - $80K,blue,25,3,3,5,1438.45,709.22,27
