estado;sigla;região;nome;Pop_est_2009;PIB;PIB_percapita;_merge
ACRE;AC;NORTE;Marechal Thaumaturgo;14275;109181.8671875;7648.47021484;both
ACRE;AC;NORTE;Senador Guiomard;19697;217153.859375;11024.71972656;both
ACRE;AC;NORTE;Assis Brasil;5662;48347.30078125;8538.91015625;both
ACRE;AC;NORTE;Epitaciolândia;14224;129641.09375;9114.25;both
ACRE;AC;NORTE;Manoel Urbano;7505;61478.73046875;8191.70019531;both
ACRE;AC;NORTE;Tarauacá;33883;258505.0625;7629.33984375;both
ACRE;AC;NORTE;Mâncio Lima;14774;103294.7421875;6991.66015625;both
ACRE;AC;NORTE;Plácido de Castro;18235;204410.5625;11209.79003906;both
ACRE;AC;NORTE;Santa Rosa do Purus;4358;28091.17382812;6445.89013672;both
ACRE;AC;NORTE;Cruzeiro do Sul;77004;684349.25;8887.19042969;both
ACRE;AC;NORTE;Feijó;32261;239317.046875;7418.14990234;both
ACRE;AC;NORTE;Sena Madureira;36166;371556.0625;10273.62988281;both
ACRE;AC;NORTE;Capixaba;9287;89052.6796875;9588.95996094;both
ACRE;AC;NORTE;Rio Branco;305954;3837370.75;12542.30957031;both
ACRE;AC;NORTE;Brasiléia;20238;194979.828125;9634.33984375;both
ACRE;AC;NORTE;Acrelândia;12241;151120.015625;12345.40039062;both
ACRE;AC;NORTE;Porto Acre;14682;160340.78125;10920.91015625;both
ACRE;AC;NORTE;Bujari;6772;88708.03125;13099.24023438;both
ACRE;AC;NORTE;Porto Walter;8855;64432.35546875;7276.37988281;both
ACRE;AC;NORTE;Rodrigues Alves;13460;153169.609375;11379.61035156;both
ACRE;AC;NORTE;Xapuri;15079;150262.34375;9965.00976562;both
ACRE;AC;NORTE;Jordão;6520;41673.13671875;6391.58984375;both
ALAGOAS;AL;NORDESTE;Dois Riachos;11200;35078.25390625;3131.98999023;both
ALAGOAS;AL;NORDESTE;Belém;5083;19550.015625;3846.15991211;both
ALAGOAS;AL;NORDESTE;Santana do Mundaú;12039;52134.53515625;4330.47021484;both
ALAGOAS;AL;NORDESTE;Campo Alegre;47209;182361.03125;3862.84008789;both
ALAGOAS;AL;NORDESTE;Passo de Camaragibe;14261;59784.6875;4192.18017578;both
ALAGOAS;AL;NORDESTE;Marechal Deodoro;47623;620477.5;13028.95019531;both
ALAGOAS;AL;NORDESTE;São Miguel dos Milagres;7601;29789.48828125;3919.14990234;both
ALAGOAS;AL;NORDESTE;Olho D'Água do Casado;8517;27759.3671875;3259.29003906;both
ALAGOAS;AL;NORDESTE;Paulo Jacinto;7772;24402.88085938;3139.85009766;both
ALAGOAS;AL;NORDESTE;Pilar;32655;174139.0625;5332.68994141;both
ALAGOAS;AL;NORDESTE;Cacimbinhas;10182;39280.7421875;3857.86010742;both
ALAGOAS;AL;NORDESTE;Jacuípe;7045;29361.71679688;4167.74023438;both
ALAGOAS;AL;NORDESTE;Minador do Negrão;5292;22713.8515625;4292.10986328;both
ALAGOAS;AL;NORDESTE;Anadia;17740;72170.7265625;4068.25;both
ALAGOAS;AL;NORDESTE;Senador Rui Palmeira;13110;35231.92578125;2687.40991211;both
ALAGOAS;AL;NORDESTE;Pariconha;10539;32510.77148438;3084.81005859;both
ALAGOAS;AL;NORDESTE;Mata Grande;25309;70679.9765625;2792.67993164;both
ALAGOAS;AL;NORDESTE;Messias;15899;62115.51171875;3906.87988281;both
ALAGOAS;AL;NORDESTE;Taquarana;18848;67490.1875;3580.76000977;both
ALAGOAS;AL;NORDESTE;Teotônio Vilela;41935;186967.0625;4458.5;both
ALAGOAS;AL;NORDESTE;Canapi;18397;53345.25390625;2899.66992188;both
ALAGOAS;AL;NORDESTE;Olho D'Água Grande;4963;16447.203125;3313.95996094;both
ALAGOAS;AL;NORDESTE;Branquinha;12215;42036.96875;3441.41992188;both
ALAGOAS;AL;NORDESTE;Major Isidoro;19530;73942.796875;3786.11010742;both
ALAGOAS;AL;NORDESTE;Colônia Leopoldina;20181;106579.515625;5281.18017578;both
ALAGOAS;AL;NORDESTE;Coruripe;53369;463296.53125;8681.0;both
ALAGOAS;AL;NORDESTE;Novo Lino;12449;47015.875;3776.67993164;both
ALAGOAS;AL;NORDESTE;Água Branca;19989;59232.4921875;2963.25;both
ALAGOAS;AL;NORDESTE;Palmeira dos Índios;72564;358377.4375;4938.77978516;both
ALAGOAS;AL;NORDESTE;Batalha;16919;66246.3359375;3915.5;both
ALAGOAS;AL;NORDESTE;Ibateguara;15863;56599.32421875;3568.01000977;both
ALAGOAS;AL;NORDESTE;União dos Palmares;62727;400757.65625;6388.91992188;both
ALAGOAS;AL;NORDESTE;Ouro Branco;11504;32711.80273438;2843.52001953;both
ALAGOAS;AL;NORDESTE;Junqueiro;25290;98153.7734375;3881.12988281;both
ALAGOAS;AL;NORDESTE;São Brás;7062;27549.03125;3901.02001953;both
ALAGOAS;AL;NORDESTE;Traipu;25854;68499.6875;2649.47998047;both
ALAGOAS;AL;NORDESTE;Campestre;6178;25780.65820312;4172.97998047;both
ALAGOAS;AL;NORDESTE;Jacaré dos Homens;5902;30879.77734375;5232.08984375;both
ALAGOAS;AL;NORDESTE;Olivença;10865;33409.52734375;3074.9699707;both
ALAGOAS;AL;NORDESTE;Barra de Santo Antônio;14435;53292.31640625;3691.87988281;both
ALAGOAS;AL;NORDESTE;Boca da Mata;26030;152409.21875;5855.14013672;both
ALAGOAS;AL;NORDESTE;Porto Calvo;26044;131020.25;5030.72998047;both
ALAGOAS;AL;NORDESTE;Lagoa da Canoa;18196;60461.83984375;3322.81005859;both
ALAGOAS;AL;NORDESTE;Cajueiro;20825;77771.0703125;3734.51000977;both
ALAGOAS;AL;NORDESTE;Satuba;14779;56080.00390625;3794.57006836;both
ALAGOAS;AL;NORDESTE;São Sebastião;32181;123021.7890625;3822.81005859;both
ALAGOAS;AL;NORDESTE;Maragogi;26978;115097.2109375;4266.33984375;both
ALAGOAS;AL;NORDESTE;Maribondo;14144;55018.47265625;3889.87988281;both
ALAGOAS;AL;NORDESTE;Inhapi;18166;49013.73046875;2698.10009766;both
ALAGOAS;AL;NORDESTE;Delmiro Gouveia;48462;276627.6875;5708.14013672;both
ALAGOAS;AL;NORDESTE;Porto de Pedras;10649;37205.45703125;3493.80004883;both
ALAGOAS;AL;NORDESTE;Santa Luzia do Norte;7572;53447.09765625;7058.52001953;both
ALAGOAS;AL;NORDESTE;Flexeiras;12290;45588.03125;3709.36010742;both
ALAGOAS;AL;NORDESTE;Roteiro;6864;38793.6640625;5651.75976562;both
ALAGOAS;AL;NORDESTE;Jundiá;4698;21836.53515625;4648.04980469;both
ALAGOAS;AL;NORDESTE;Tanque D'Arca;5766;18489.390625;3206.62011719;both
ALAGOAS;AL;NORDESTE;Arapiraca;210521;1658976.875;7880.33984375;both
ALAGOAS;AL;NORDESTE;Olho D'Água das Flores;20555;70390.265625;3424.47998047;both
ALAGOAS;AL;NORDESTE;Viçosa;26830;95608.140625;3563.47998047;both
ALAGOAS;AL;NORDESTE;Maravilha;10110;33863.60546875;3349.52001953;both
ALAGOAS;AL;NORDESTE;Pão de Açúcar;24534;85304.7265625;3477.0;both
ALAGOAS;AL;NORDESTE;Girau do Ponciano;36904;111610.8828125;3024.36010742;both
ALAGOAS;AL;NORDESTE;Chã Preta;7073;26925.03125;3806.72998047;both
ALAGOAS;AL;NORDESTE;Monteirópolis;7292;22985.1328125;3152.10009766;both
ALAGOAS;AL;NORDESTE;Palestina;5071;15465.23339844;3049.73999023;both
ALAGOAS;AL;NORDESTE;Capela;17366;73067.953125;4207.52978516;both
ALAGOAS;AL;NORDESTE;Feliz Deserto;4568;34067.5078125;7457.85986328;both
